borough,neighborhood,building_class_category,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,sale_year,age
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1800,1690,1945,525000,2018-08-01T00:00:00Z,2018,73
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,2100,1955,610000,2018-08-09T00:00:00Z,2018,63
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,2100,1955,550000,2017-11-10T00:00:00Z,2017,62
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2150,1088,1950,415000,2017-11-27T00:00:00Z,2017,67
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1512,1485,1945,450800,2017-09-26T00:00:00Z,2017,72
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2042,1040,1940,7e+05,2018-02-13T00:00:00Z,2018,78
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1800,1813,1950,470000,2018-02-13T00:00:00Z,2018,68
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1776,1705,1945,487000,2017-09-26T00:00:00Z,2017,72
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2800,1054,1955,250000,2018-04-05T00:00:00Z,2018,63
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2300,1944,1955,345000,2017-12-21T00:00:00Z,2017,62
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,1754,1328,1920,305000,2017-10-19T00:00:00Z,2017,97
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,1754,1328,1920,435000,2018-05-07T00:00:00Z,2018,98
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,1111,881,1920,385000,2018-07-18T00:00:00Z,2018,98
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,851,906,1920,350000,2018-06-29T00:00:00Z,2018,98
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,904,1050,1920,180000,2018-03-21T00:00:00Z,2018,98
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1800,1744,1955,433000,2018-06-07T00:00:00Z,2018,63
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1800,1849,1955,420000,2017-11-02T00:00:00Z,2017,62
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,4777,997,1920,8e+05,2018-08-01T00:00:00Z,2018,98
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1775,1683,1950,475000,2017-09-13T00:00:00Z,2017,67
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2679,1116,1955,420000,2017-10-13T00:00:00Z,2017,62
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,1480,1955,346500,2018-01-22T00:00:00Z,2018,63
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,1650,1632,1955,405000,2017-09-15T00:00:00Z,2017,62
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,5371,755,1935,375000,2017-12-07T00:00:00Z,2017,82
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,5000,1728,1930,5e+05,2017-12-27T00:00:00Z,2017,87
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,956,1930,285000,2018-06-29T00:00:00Z,2018,88
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2945,2018,1950,4e+05,2018-07-26T00:00:00Z,2018,68
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10469,1,0,1,2500,1368,1930,475000,2018-04-05T00:00:00Z,2018,88
2,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1,0,1,2500,756,1935,504000,2018-06-08T00:00:00Z,2018,83
